datetime,timestamp,cpu_cu,pixel_x
2026-02-02 02:33:19,1769995999,0.0219,68.874
2026-02-02 02:33:40,1769996020,0.0218,69.085
2026-02-02 02:34:00,1769996040,0.0218,69.295
2026-02-02 02:34:19,1769996059,0.0218,69.505
2026-02-02 02:34:40,1769996080,0.0222,69.716
2026-02-02 02:35:00,1769996100,0.0223,69.926
2026-02-02 02:35:19,1769996119,0.0225,70.136
2026-02-02 02:35:39,1769996139,0.0228,70.346
2026-02-02 02:36:00,1769996160,0.0228,70.557
2026-02-02 02:36:20,1769996180,0.0228,70.767
2026-02-02 02:36:39,1769996199,0.0228,70.977
2026-02-02 02:36:59,1769996219,0.0228,71.187
2026-02-02 02:37:20,1769996240,0.0228,71.398
2026-02-02 02:37:40,1769996260,0.0229,71.608
2026-02-02 02:37:59,1769996279,0.023,71.818
2026-02-02 02:38:19,1769996299,0.0231,72.028
2026-02-02 02:38:40,1769996320,0.026,72.239
2026-02-02 02:39:00,1769996340,0.026,72.449
2026-02-02 02:39:19,1769996359,0.026,72.659
2026-02-02 02:39:40,1769996380,0.0217,72.87
2026-02-02 02:40:00,1769996400,0.0217,73.08
2026-02-02 02:40:19,1769996419,0.0217,73.29
2026-02-02 02:40:39,1769996439,0.0275,73.5
2026-02-02 02:41:00,1769996460,0.0275,73.711
2026-02-02 02:41:20,1769996480,0.0275,73.921
2026-02-02 02:41:39,1769996499,0.0274,74.131
2026-02-02 02:41:59,1769996519,0.0272,74.341
2026-02-02 02:42:20,1769996540,0.0269,74.552
2026-02-02 02:42:40,1769996560,0.022,74.762
2026-02-02 02:42:59,1769996579,0.022,74.972
2026-02-02 02:43:19,1769996599,0.022,75.182
2026-02-02 02:43:40,1769996620,0.022,75.393
2026-02-02 02:44:00,1769996640,0.022,75.603
2026-02-02 02:44:19,1769996659,0.022,75.813
2026-02-02 02:44:40,1769996680,0.022,76.024
2026-02-02 02:45:00,1769996700,0.022,76.234
2026-02-02 02:45:19,1769996719,0.022,76.444
2026-02-02 02:45:39,1769996739,0.0227,76.654
2026-02-02 02:46:00,1769996760,0.0227,76.865
2026-02-02 02:46:20,1769996780,0.0227,77.075
2026-02-02 02:46:39,1769996799,0.0223,77.285
2026-02-02 02:46:59,1769996819,0.0223,77.495
2026-02-02 02:47:20,1769996840,0.0223,77.706
2026-02-02 02:47:40,1769996860,0.0238,77.916
